addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
인천광역시 계양구 향교로 19,(계산동),2,0,A02,A0201,A02010700,1113321,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/41/1577341_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/1577341_image3_1.jpg,Type3,126.7204314,37.53960833,,2.02E+13,2,,부평향교,21054
경상북도 김천시 부항면 부항댐길 352,(부항면),35,0,A02,A0205,A02050100,2706622,12,2.02E+13,,,,127.9969514,35.98081872,6,2.02E+13,6,,부항댐 출렁다리,39689
강원특별자치도 원주시 소초면 흥양리,,32,0,A02,A0205,A02050200,2702481,12,2.02E+13,,,,127.9855407,37.37740292,6,2.02E+13,9,,부흥사지 석탑재,26310
경상북도 영덕군 남정면 장사리 1-1,,35,,A01,A0101,A01011200,2912266,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/55/2912255_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2912255_image3_1.jpg,Type3,129.3744793,36.28913159,6,2.02E+13,12,,부흥해변,36463
전북특별자치도 무주군 무주읍 북고사길 67,,37,0,A02,A0201,A02010800,317500,12,2.02E+11,http://tong.visitkorea.or.kr/cms/resource/86/1248286_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/1248286_image3_1.jpg,Type3,127.659497,36.01737795,6,2.02E+13,5,,북고사(무주),55507
울산광역시 북구 달천동 산 175,,7,0,A01,A0101,A01010600,2661537,12,2.02E+13,,,,129.3043955,35.65035245,6,2.02E+13,4,,북구 편백산림욕장,44200
경기도 여주시 북내면 금당로 260-3,,31,,A02,A0202,A02020700,3046848,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/46/3002846_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/46/3002846_image3_1.JPG,Type3,127.6776419,37.33645195,6,2.02E+13,20,,북내체육공원,12613
충청북도 단양군 적성면 적성로 172-62,,33,0,A02,A0202,A02020200,2662470,12,2.02E+13,,,,128.2891931,37.0262435,6,2.02E+13,2,,북단양리조트,27000
경기도 용인시 처인구 남사읍 형제로17번길 78,,31,0,A01,A0101,A01011800,2751606,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/14/2752314_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/2752314_image2_1.jpg,Type3,127.1440148,37.15384949,6,2.02E+13,23,,북리지,17118
부산광역시 금정구 장전동,,6,0,A02,A0203,A02030600,2643387,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/86/2643386_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/86/2643386_image2_1.bmp,Type3,129.0825597,35.23699196,,2.02E+13,2,,북맛골,46325
경상남도 창원시 의창구 북면 천주로 1553,,36,0,A01,A0101,A01010500,2763743,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/09/3077409_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/3077409_image3_1.jpg,Type3,128.6120248,35.37507059,6,2.02E+13,16,,북면수변생태공원,51100
충청북도 단양군 영춘면 북벽길 51-3,(영춘면),33,0,A01,A0102,A01020200,1627315,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/26/3064126_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/3064126_image3_1.jpg,Type3,128.4942175,37.08286307,6,2.02E+13,2,,북벽,27018
경기도 김포시 북변중로65번길,(북변동),31,0,A02,A0203,A02030100,2638785,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/68/2638768_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/68/2638768_image2_1.bmp,Type3,126.7105855,37.62474269,6,2.02E+13,8,,북변동 올드타운,10106
경상남도 거제시 동부면,(동부면),36,0,A01,A0101,A01010400,127261,12,2.00E+13,,,,128.6564804,34.81770887,6,2.02E+13,1,,북병산,53332
경기도 부천시 벌말로 220,(대장동),31,0,A01,A0101,A01010500,2764942,12,2.02E+13,,,,126.7686796,37.5468389,6,2.02E+13,11,,북부수자원생태공원,14400
강원특별자치도 양양군 현남면 북분리,산21-1,32,0,A01,A0101,A01011200,125682,12,2.00E+13,http://tong.visitkorea.or.kr/cms/resource/15/3076915_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/3076915_image3_1.jpg,Type3,128.7500032,37.98693024,6,2.02E+13,7,,북분리해수욕장,"215-842,3"
대구광역시 군위군 군위읍 대북길 207-3,,4,0,A02,A0201,A02010700,1958862,12,2.01E+13,,,,128.5657235,36.26937689,6,2.02E+13,9,,북산서원,39006
서울특별시 강북구 월계로 173,,1,0,A01,A0101,A01010500,822384,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/86/2526686_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2526686_image2_1.jpg,Type3,127.0407498,37.62338765,6,2.02E+13,3,,북서울 꿈의숲,1228
인천광역시 중구 북성동2가,,2,,A02,A0203,A02030600,3003138,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/56/3001856_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/3001856_image3_1.jpg,Type3,126.6195841,37.47573619,6,2.02E+13,10,,북성동 원조 자장면거리,22312
인천광역시 중구 북성포길 49,(북성동1가),2,0,A01,A0101,A01011400,2765523,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/43/2781443_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/43/2781443_image2_1.png,Type3,126.6154759,37.48314082,6,2.02E+13,10,,북성포구,22300
경기도 수원시 장안구 서부로 2139,(율전동),31,0,A02,A0202,A02020300,2745737,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/92/2746092_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2746092_image2_1.jpg,Type3,126.9716819,37.29950733,6,2.02E+13,13,,북수원온천,16360
서울특별시 마포구 아현동 707-8,,1,,A02,A0203,A02030100,2946515,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/49/2947049_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/2947049_image3_1.jpg,Type1,126.9614645,37.55673286,6,2.02E+13,13,,북아현동계단,4199
서울특별시 종로구 청운동,,1,0,A01,A0101,A01010400,809190,12,2.01E+13,,,,126.9737151,37.59315384,6,2.02E+13,23,,북악산,3048
서울특별시 성북구 대사관로 1,(성북동) 삼청각 부근,1,0,A02,A0201,A02010300,129500,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/17/2360917_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2360917_image3_1.jpg,Type3,126.9834142,37.5968647,6,2.02E+13,17,,북악산 숙정문,2822
서울특별시 종로구 북악산로 267,(평창동),1,0,A02,A0202,A02020700,126943,12,2.00E+13,,,,126.980567,37.60202794,6,2.02E+13,23,,북악스카이 팔각정,3010
경상북도 상주시 내서면 북장1길 317,(내서면),35,0,A02,A0201,A02010800,317501,12,2.01E+13,,,,128.0806258,36.43757098,6,2.02E+13,9,,북장사(상주),37149
서울특별시 성북구 성북로23길 132-3,,1,0,A02,A0203,A02030100,2661492,12,2.02E+13,,,,126.991058,37.59291529,6,2.02E+13,17,,북정마을,2879
대구광역시 동구 도장길 243,(도학동),4,0,A02,A0201,A02010800,317502,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/21/1023321_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/1023321_image3_1.jpg,Type3,128.7148547,35.97645736,6,2.02E+13,4,,북지장사(대구),41007
서울특별시 종로구 계동길 37,(계동),1,0,A02,A0201,A02010600,1100498,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/80/933780_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/933780_image3_1.jpg,Type3,126.9864255,37.57916125,6,2.02E+13,23,,북촌 8경,3059
제주특별자치도 제주시 조천읍 북촌3길 3,,39,0,A01,A0101,A01010500,2661523,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/80/3069280_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/3069280_image3_1.jpg,Type3,126.6886966,33.54605287,6,2.02E+13,4,,북촌리 4.3길,63339
서울특별시 종로구 북촌로11다길 22-3 (삼청동),,1,,A02,A0205,A02050600,3056278,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/39/3056239_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/3056239_image3_1.jpg,Type3,126.9828007,37.58313295,6,2.02E+13,23,,북촌전망대,3052
서울특별시 종로구 북촌로12길 24-5,,1,,A02,A0203,A02030400,2993183,12,2.02E+13,,,,126.9860532,37.58254697,6,2.02E+13,23,02-741-2148,북촌전통공예체험관,3056
서울특별시 종로구 북촌로12길 5-12 (가회동),,1,,A02,A0203,A02030200,3085314,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/46/3084046_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/46/3084046_image3_1.JPG,Type3,126.9855172,37.58240253,6,2.02E+13,23,,북촌전통발효공방 빚담,3056
서울특별시 종로구 계동길 37,(계동),1,0,A02,A0201,A02010600,126537,12,2.00E+13,http://tong.visitkorea.or.kr/cms/resource/06/2512006_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2512006_image3_1.jpg,Type3,126.9864255,37.57916125,6,2.02E+13,23,,북촌한옥마을,3059
,서울시 종로구 안국동,1,,A02,A0203,A02030600,2946075,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/03/2947303_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2947303_image3_1.jpg,Type1,0,0,,2.02E+13,23,,북촌한옥마을 감고당길,
경기도 파주시 문발로 240-21,(문발동),31,0,A05,A0502,A05020900,2569450,12,2.02E+13,,,,126.6886711,37.71490958,6,2.02E+13,27,,북카페 블루박스,10881
강원특별자치도 동해시 오일장2길 16 (구미동),,32,,A02,A0205,A02050600,3022726,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/08/3022708_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/3022708_image3_1.jpg,Type3,129.1261045,37.4809433,6,2.02E+13,3,033-521-1784,북평성당,25813
경기도 양평군 서종면 수입리 산101,,31,0,A01,A0101,A01010500,2783361,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/84/2793784_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2793784_image2_1.jpg,Type3,127.3663337,37.63771133,6,2.02E+13,19,,북한강로벚꽃길,12500
