addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
전북특별자치도 정읍시 충정로 184,(장명동),37,0,A02,A0201,A02010700,1626239,12,2.02401E+11,http://tong.visitkorea.or.kr/cms/resource/12/1605712_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/1605712_image3_1.jpg,Type3,126.8606993,35.56739852,6,2.02401E+13,13,,정읍향교,56186
전라남도 보성군 회천면 영천길 9,,38,0,A02,A0201,A02010700,129668,12,2.00708E+13,http://tong.visitkorea.or.kr/cms/resource/56/219656_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/219656_image3_1.jpg,Type3,127.0694392,34.67910508,6,2.02305E+13,10,,정응민예적지(판소리공원),59472
제주특별자치도 서귀포시 표선면 성읍서문로 14,,39,0,A02,A0201,A02010700,1621147,12,2.01205E+13,http://tong.visitkorea.or.kr/cms/resource/00/1618200_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/1618200_image3_1.jpg,Type3,126.800085,33.38690559,6,2.02312E+13,3,,정의향교,63624
제주특별자치도 서귀포시 표선면 성읍정의현로 104,,39,0,A02,A0201,A02010200,1621165,12,2.01205E+13,http://tong.visitkorea.or.kr/cms/resource/56/1618156_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/1618156_image3_1.jpg,Type3,126.8013237,33.39169952,6,2.02312E+13,3,,정의현성,63624
전북특별자치도 장수군 계북면 양악길 119,(계북면),37,0,A02,A0205,A02050200,1624802,12,2.01205E+13,,,,127.638099,35.80551555,6,2.02401E+13,11,,정인승유허비,55601
울산광역시 북구 당사동 359-1,,7,0,B02,B0201,B02011000,129095,12,2.0071E+13,http://tong.visitkorea.or.kr/cms/resource/45/1358445_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/1358445_image3_1.jpg,Type3,129.4568175,35.58251852,6,2.02305E+13,4,,정자.당사마을,44248
울산광역시 북구 정자1길 60-12 (정자동),,7,,A01,A0101,A01011400,3072660,12,2.02312E+13,http://tong.visitkorea.or.kr/cms/resource/62/3055562_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/3055562_image3_1.jpg,Type3,129.4517836,35.61836161,6,2.02312E+13,4,,정자항,44233
서울특별시 관악구 난곡동,,1,0,A02,A0201,A02010700,126913,12,2.00205E+13,http://tong.visitkorea.or.kr/cms/resource/85/2363185_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2363185_image3_1.jpg,Type3,126.9181682,37.46615927,6,2.0231E+13,5,,정정공강사상묘역,8859
인천광역시 강화군 길상면 전등사로,,2,0,A01,A0101,A01010400,127667,12,2.00402E+13,http://tong.visitkorea.or.kr/cms/resource/67/182967_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/182967_image3_1.jpg,Type3,126.4879251,37.63297391,6,2.02401E+13,1,,정족산,23050
충청북도 옥천군 옥천읍 향수길 56,,33,0,A02,A0201,A02010500,127281,12,2.00311E+13,,,,127.5821653,36.31507318,6,2.02312E+13,5,,정지용 생가,29030
